Name,Rating,Neighborhood,City,Sortable_Review_Date,cleanliness_count,cleanliness_clean_count,cleanliness_tidy_count,cleanliness_hygienic_count,cleanliness_spotless_count,cleanliness_location_count,cleanliness_area_count,cleanliness_neighborhood_count,cleanliness_proximity_count,cleanliness_service_count,cleanliness_staff_count,cleanliness_reception_count,cleanliness_hospitality_count,cleanliness_amenities_count,cleanliness_facility_count,cleanliness_services_count,cleanliness_features_count,cleanliness_budget_count,cleanliness_affordable_count,cleanliness_cheap_count,cleanliness_economical_count,cleanliness_return on investment_count,cleanliness_high-quality_count,cleanliness_prestigious_count,cleanliness_lucrative_count,cleanliness_elite_count,cleanliness_premium_count,cleanliness_exclusive_count,cleanliness_sophisticated_count,cleanliness_exceptional_count,location_count,location_clean_count,location_tidy_count,location_hygienic_count,location_spotless_count,location_location_count,location_area_count,location_neighborhood_count,location_proximity_count,location_service_count,location_staff_count,location_reception_count,location_hospitality_count,location_amenities_count,location_facility_count,location_services_count,location_features_count,location_budget_count,location_affordable_count,location_cheap_count,location_economical_count,location_return on investment_count,location_high-quality_count,location_prestigious_count,location_lucrative_count,location_elite_count,location_premium_count,location_exclusive_count,location_sophisticated_count,location_exceptional_count,service_count,service_clean_count,service_tidy_count,service_hygienic_count,service_spotless_count,service_location_count,service_area_count,service_neighborhood_count,service_proximity_count,service_service_count,service_staff_count,service_reception_count,service_hospitality_count,service_amenities_count,service_facility_count,service_services_count,service_features_count,service_budget_count,service_affordable_count,service_cheap_count,service_economical_count,service_return on investment_count,service_high-quality_count,service_prestigious_count,service_lucrative_count,service_elite_count,service_premium_count,service_exclusive_count,service_sophisticated_count,service_exceptional_count,amenities_count,amenities_clean_count,amenities_tidy_count,amenities_hygienic_count,amenities_spotless_count,amenities_location_count,amenities_area_count,amenities_neighborhood_count,amenities_proximity_count,amenities_service_count,amenities_staff_count,amenities_reception_count,amenities_hospitality_count,amenities_amenities_count,amenities_facility_count,amenities_services_count,amenities_features_count,amenities_budget_count,amenities_affordable_count,amenities_cheap_count,amenities_economical_count,amenities_return on investment_count,amenities_high-quality_count,amenities_prestigious_count,amenities_lucrative_count,amenities_elite_count,amenities_premium_count,amenities_exclusive_count,amenities_sophisticated_count,amenities_exceptional_count,budget_count,budget_clean_count,budget_tidy_count,budget_hygienic_count,budget_spotless_count,budget_location_count,budget_area_count,budget_neighborhood_count,budget_proximity_count,budget_service_count,budget_staff_count,budget_reception_count,budget_hospitality_count,budget_amenities_count,budget_facility_count,budget_services_count,budget_features_count,budget_budget_count,budget_affordable_count,budget_cheap_count,budget_economical_count,budget_return on investment_count,budget_high-quality_count,budget_prestigious_count,budget_lucrative_count,budget_elite_count,budget_premium_count,budget_exclusive_count,budget_sophisticated_count,budget_exceptional_count,value_count,value_clean_count,value_tidy_count,value_hygienic_count,value_spotless_count,value_location_count,value_area_count,value_neighborhood_count,value_proximity_count,value_service_count,value_staff_count,value_reception_count,value_hospitality_count,value_amenities_count,value_facility_count,value_services_count,value_features_count,value_budget_count,value_affordable_count,value_cheap_count,value_economical_count,value_return on investment_count,value_high-quality_count,value_prestigious_count,value_lucrative_count,value_elite_count,value_premium_count,value_exclusive_count,value_sophisticated_count,value_exceptional_count,neg,neu,pos,compound
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-07-01,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.361,0.639,0.9805
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.24,0.76,0.969
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.674,0.326,0.4404
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.379,0.621,0.9623
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.229,0.771,0.9892
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.31,0.69,0.9851
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.295,0.625,0.9719
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.263,0.737,0.9869
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.338,0.662,0.9852
Hotel The Pearl,8.0,Paharganj, New Delhi,2023-08-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.38,0.62,0.9617
